mode,cohort,window,predictor,n,r,p,partial_r_lag,partial_p_lag,n_partial,abs_r,abs_partial_r
demeaned,arbequina,spring,sum_precip,100,-0.4221595572183277,1.215199590862606e-05,-0.35956545519140837,0.0005002378185527374,90,0.4221595572183277,0.35956545519140837
demeaned,all_olive,agro_year,mean_tmax,354,-0.14880466373910542,0.005024226947208033,-0.3589100444983335,4.21991800714925e-11,318,0.14880466373910542,0.3589100444983335
demeaned_nodana,arbequina,agro_year,mean_vpd,80,0.0734093931935901,0.5175453844566399,-0.3580490822074786,0.002340020472405419,70,0.0734093931935901,0.3580490822074786
demeaned_nodana,min500ha,fruit_set,mean_tmax,144,-0.32056025765851315,8.962772410218692e-05,-0.3563485417341268,4.2141413631160765e-05,126,0.32056025765851315,0.3563485417341268
raw,arbequina,fruit_dev,mean_vpd,100,-0.49272769938552885,1.9135367271016008e-07,-0.35299075015581033,0.0006436908336269181,90,0.49272769938552885,0.35299075015581033
demeaned,arbequina,calendar_year,sum_precip,100,-0.35225418785317114,0.0003254223242705873,-0.35252708891025575,0.0006551057114171238,90,0.35225418785317114,0.35252708891025575
demeaned,arbequina,fruit_dev,sum_precip,100,-0.11076799826168524,0.2725828719197137,-0.3525073200931217,0.0006555964866872137,90,0.11076799826168524,0.3525073200931217
raw,min500ha,agro_year,mean_vpd,180,-0.37393690566600124,2.3314074357317608e-07,-0.35180402482411627,4.418097939900602e-06,162,0.37393690566600124,0.35180402482411627
demeaned,arbequina,agro_year,mean_vpd,100,0.05658732788890884,0.5760202989512286,-0.35071861689700995,0.0007014185210298973,90,0.05658732788890884,0.35071861689700995
demeaned_nodana,all_olive,summer,mean_tmax,284,-0.31289724532214447,7.219667103557355e-08,-0.3504439941723707,1.4130359221584059e-08,248,0.31289724532214447,0.3504439941723707
raw,arbequina,summer,ratio_p_et0,100,-0.15497858584221497,0.12365317251412378,-0.3501366713212389,0.00071694550780374,90,0.15497858584221497,0.3501366713212389
raw,min500ha,summer,days_vpd_gt2,180,-0.4343127627302485,1.119674939380227e-09,-0.34969828193764585,5.083317238667485e-06,162,0.4343127627302485,0.34969828193764585
demeaned_nodana,all_olive,set_to_dev,mean_vpd,284,-0.3309737556400785,1.0974092245502811e-08,-0.34912494764038693,1.613837992297998e-08,248,0.3309737556400785,0.34912494764038693
raw,arbequina,spring,sum_cwb,100,-0.21704232956296213,0.03007795493180934,-0.347624474445338,0.0007876405368815924,90,0.21704232956296213,0.347624474445338
raw,min500ha,fruit_set,days_vpd_gt2,180,-0.37283248203922315,2.5459928933135043e-07,-0.34712171857551327,6.026769255722377e-06,162,0.37283248203922315,0.34712171857551327
raw,min500ha,bloom_to_set,days_vpd_gt2,180,-0.3641756572622404,5.020036182601733e-07,-0.3466314560800855,6.224142124155626e-06,162,0.3641756572622404,0.3466314560800855
raw,min500ha,maturation,sum_cwb,180,-0.2517609288514261,0.0006513496127316093,-0.34574148068963684,6.59818592487424e-06,162,0.2517609288514261,0.34574148068963684
demeaned,min500ha,fruit_dev,sum_precip,180,-0.21267332386752597,0.0041530312900887895,-0.3453198987299469,6.7827145518186695e-06,162,0.21267332386752597,0.3453198987299469
demeaned,min500ha,agro_year,mean_tmax,180,-0.018958694745155113,0.8005709572884139,-0.3442222283147663,7.286382484999412e-06,162,0.018958694745155113,0.3442222283147663
raw,arbequina,agro_year,sum_et0,100,-0.5507920287548066,2.8961084768086554e-09,-0.34422059911950337,0.000893578690113461,90,0.5507920287548066,0.34422059911950337
raw,arbequina,fruit_set,mean_vpd,100,-0.3695085446635672,0.0001546730747421605,-0.34300074922026835,0.0009345975900422935,90,0.3695085446635672,0.34300074922026835
raw,arbequina,fruit_set,mean_tmax,100,-0.35027560405205926,0.0003534555734780223,-0.3421868287744977,0.0009629124387097348,90,0.35027560405205926,0.3421868287744977
raw,arbequina,prev_summer,days_vpd_gt2,90,-0.4243296156701463,3.0726881964902414e-05,-0.3418599050795666,0.0009745036685936478,90,0.4243296156701463,0.3418599050795666
demeaned,arbequina,calendar_year,mean_tmax,100,-0.20344797520521665,0.042337591470259985,-0.34184091016313845,0.0009751810292191957,90,0.20344797520521665,0.34184091016313845
raw,min500ha,set_to_dev,days_vpd_gt2,180,-0.4298586657293312,1.7228993779687898e-09,-0.34020647135429505,9.447668044417134e-06,162,0.4298586657293312,0.34020647135429505
raw,min500ha,set_to_dev,mean_vpd,180,-0.42925114272875486,1.8263304198853692e-09,-0.3401589037731167,9.476578954637672e-06,162,0.42925114272875486,0.3401589037731167
raw,min500ha,calendar_year,days_vpd_gt2,180,-0.42052165549922293,4.167851634078324e-09,-0.33972784361762254,9.742415453638776e-06,162,0.42052165549922293,0.33972784361762254
demeaned_nodana,min500ha,calendar_year,mean_vpd,144,-0.23593308436633154,0.004415758862341293,-0.33923977202291,0.00010195685020416416,126,0.23593308436633154,0.33923977202291
demeaned,arbequina,fruit_dev,ratio_p_et0,100,-0.06750757608088276,0.504548420637167,-0.33865870457277086,0.0010948994643150951,90,0.06750757608088276,0.33865870457277086
demeaned_nodana,min500ha,summer,ratio_p_et0,144,-0.17705983406182582,0.03375352767024111,-0.3378858940745869,0.00010910494060659998,126,0.17705983406182582,0.3378858940745869
demeaned_nodana,arbequina,spring,sum_cwb,80,-0.4226396086218678,9.407905979129157e-05,-0.33781729853198805,0.004235228197388552,70,0.4226396086218678,0.33781729853198805
raw,min500ha,agro_year,days_vpd_gt2,180,-0.4191625289861557,4.7292225268385734e-09,-0.3369940114440454,1.1599847100959745e-05,162,0.4191625289861557,0.3369940114440454
demeaned_nodana,arbequina,spring,days_vpd_gt2,80,-0.08042989240320172,0.4781911043221825,-0.33631668689303584,0.004419068542229772,70,0.08042989240320172,0.33631668689303584
demeaned_nodana,min500ha,fruit_dev,mean_vpd,144,-0.31159160346801185,0.00014376536715929046,-0.33623003665821916,0.00011848206749000157,126,0.31159160346801185,0.33623003665821916
raw,min500ha,calendar_year,sum_precip,180,-0.2610586297356436,0.00040065826622191064,-0.3353072172957966,1.2907912704282657e-05,162,0.2610586297356436,0.3353072172957966
demeaned_nodana,min500ha,prev_fruit_dev,days_vpd_gt2,126,0.35346263992728494,4.908958654467075e-05,0.33529038034283715,0.00012413185974626467,126,0.35346263992728494,0.33529038034283715
raw,min500ha,maturation,ratio_p_et0,180,-0.26208869224372355,0.00037923981097584346,-0.333732135723987,1.4254174001867501e-05,162,0.26208869224372355,0.333732135723987
raw,min500ha,fruit_set,mean_vpd,180,-0.3486150243845132,1.6195230007783592e-06,-0.3320998842091611,1.5788605208450424e-05,162,0.3486150243845132,0.3320998842091611
raw,arbequina,summer,sum_et0,100,-0.4381302534098715,5.142543536750498e-06,-0.3317011240554522,0.0014044356248355454,90,0.4381302534098715,0.3317011240554522
raw,min500ha,spring,sum_precip,180,-0.2970334926005421,5.140877908962661e-05,-0.3311147797982833,1.6788792294608948e-05,162,0.2970334926005421,0.3311147797982833
raw,arbequina,prev_fruit_dev,mean_vpd,90,-0.41442540012298057,4.8904737646892696e-05,-0.33043582472723904,0.0014685854817033243,90,0.41442540012298057,0.33043582472723904
demeaned_nodana,arbequina,maturation,sum_cwb,80,0.2877344925334613,0.009652081607986448,0.32992237746435,0.005284114558803667,70,0.2877344925334613,0.32992237746435
demeaned,min500ha,summer,mean_tmax,180,-0.2590573870369922,0.00044550817613533993,-0.32873331075320883,1.9459422466306893e-05,162,0.2590573870369922,0.32873331075320883
demeaned,min500ha,summer,ratio_p_et0,180,-0.21777891087310725,0.003316315344331895,-0.3272861752041239,2.127295323505438e-05,162,0.21777891087310725,0.3272861752041239
demeaned,arbequina,fruit_set,ratio_p_et0,100,-0.3009384532017073,0.0023469557695098933,-0.3272640162199061,0.0016412192651221395,90,0.3009384532017073,0.3272640162199061
raw,arbequina,bloom_to_set,mean_vpd,100,-0.36497837692848334,0.00018879879255558976,-0.3269112871012769,0.001661509612064376,90,0.36497837692848334,0.3269112871012769
raw,arbequina,calendar_year,mean_vpd,100,-0.43620013274296504,5.7190523677809895e-06,-0.32672961100739395,0.0016720485780455758,90,0.43620013274296504,0.32672961100739395
demeaned,arbequina,spring,ratio_p_et0,100,-0.40477198158061084,2.9530647422374904e-05,-0.3260299644023429,0.0017132017455908843,90,0.40477198158061084,0.3260299644023429
demeaned_nodana,min500ha,spring,ratio_p_et0,144,-0.36592867689615155,6.4731918563797454e-06,-0.3253481388133184,0.0002013735307919648,126,0.36592867689615155,0.3253481388133184
raw,min500ha,maturation,sum_et0,180,0.24595668672652166,0.000874273715974469,0.32506195332137466,2.437386701789143e-05,162,0.24595668672652166,0.32506195332137466
raw,min500ha,maturation,sum_precip,180,-0.23319477729515384,0.0016305297467306358,-0.3227901006666974,2.7977691482434317e-05,162,0.23319477729515384,0.3227901006666974
demeaned_nodana,all_olive,calendar_year,sum_et0,284,-0.2518293166039762,1.7500915963940887e-05,-0.32258863279131295,2.0583893597819248e-07,248,0.2518293166039762,0.32258863279131295
demeaned_nodana,arbequina,fruit_set,mean_tmax,80,-0.2532280627517359,0.02342878256181745,-0.31905190638447195,0.007101138351233986,70,0.2532280627517359,0.31905190638447195
raw,arbequina,bloom,sum_precip,100,-0.19290471945621762,0.05449306440300602,-0.3175335657347341,0.0022913356557913516,90,0.19290471945621762,0.3175335657347341
demeaned,min500ha,set_to_dev,ratio_p_et0,180,-0.1966970444792613,0.008133242862954892,-0.3173898555972559,3.865933052807288e-05,162,0.1966970444792613,0.3173898555972559
demeaned_nodana,all_olive,fruit_dev,sum_et0,284,-0.288266049594487,7.739664951249146e-07,-0.316439174160817,3.5900870257323493e-07,248,0.288266049594487,0.316439174160817
demeaned_nodana,arbequina,set_to_dev,sum_cwb,80,0.10233859958040986,0.3663598939272053,-0.316284266055062,0.007643422561857492,70,0.10233859958040986,0.316284266055062
demeaned_nodana,min500ha,set_to_dev,sum_et0,144,-0.34360365180917496,2.4821783485912624e-05,-0.3161391000007016,0.00031067719369787337,126,0.34360365180917496,0.3161391000007016
demeaned_nodana,arbequina,summer,mean_vpd,80,-0.3455937689312633,0.0016907393075427963,-0.31574129905530934,0.007753967993999014,70,0.3455937689312633,0.31574129905530934
raw,min500ha,set_to_dev,sum_precip,180,-0.2237390150250893,0.002534170276100156,-0.31536239464294474,4.358049359451941e-05,162,0.2237390150250893,0.31536239464294474
raw,min500ha,fruit_dev,mean_vpd,180,-0.422702564374714,3.3989357238231136e-09,-0.31505831998281336,4.436744212273774e-05,162,0.422702564374714,0.31505831998281336
demeaned_nodana,min500ha,set_to_dev,days_vpd_gt2,144,-0.3258587418554335,6.731925169558925e-05,-0.3131297963492038,0.00035690206684466395,126,0.3258587418554335,0.3131297963492038
demeaned,min500ha,fruit_dev,ratio_p_et0,180,-0.16717721777714276,0.024890259027334823,-0.3130790764694501,4.982523518924361e-05,162,0.16717721777714276,0.3130790764694501
raw,arbequina,set_to_dev,mean_tmax,100,-0.4387596775507856,4.966704837120269e-06,-0.31283630095052317,0.002681451287245665,90,0.4387596775507856,0.31283630095052317
demeaned_nodana,min500ha,calendar_year,days_vpd_gt2,144,-0.27874869901884264,0.0007166111434932975,-0.31263864922566387,0.000365023475716157,126,0.27874869901884264,0.31263864922566387
raw,min500ha,spring,days_vpd_gt2,180,-0.3314883162591221,5.47822250214456e-06,-0.3122683673368843,5.22378005649764e-05,162,0.3314883162591221,0.3122683673368843
raw,arbequina,bloom,days_vpd_gt2,100,-0.319827950130144,0.001179831855119959,-0.31193282020429447,0.002762990665312433,90,0.319827950130144,0.31193282020429447
demeaned,arbequina,calendar_year,ratio_p_et0,100,-0.31823894915754863,0.001252264237427313,-0.3105802640548545,0.0028892227747420274,90,0.31823894915754863,0.3105802640548545
demeaned_nodana,arbequina,calendar_year,mean_vpd,80,-0.22677573853411415,0.043087865506689936,-0.30962122006224335,0.00910021779512187,70,0.22677573853411415,0.30962122006224335
demeaned_nodana,arbequina,set_to_dev,mean_vpd,80,-0.396940276596314,0.00026693348635127096,-0.3094758026256471,0.009134543675202436,70,0.396940276596314,0.3094758026256471
demeaned_nodana,min500ha,spring,sum_cwb,144,-0.35537518736903473,1.2374738896997369e-05,-0.3088888861130673,0.00043288593884165073,126,0.35537518736903473,0.3088888861130673
raw,min500ha,fruit_dev,sum_precip,180,-0.16842276080329446,0.0238177929319924,-0.30831135908676033,6.56699960478027e-05,162,0.16842276080329446,0.30831135908676033
demeaned_nodana,all_olive,set_to_dev,sum_et0,284,-0.3072534974616822,1.2677800952769163e-07,-0.3081446258542294,7.455559499438504e-07,248,0.3072534974616822,0.3081446258542294
demeaned,arbequina,agro_year,mean_tmax,100,0.1276832130168925,0.20552455806057132,-0.3080912978871962,0.0031351034730690308,90,0.1276832130168925,0.3080912978871962
raw,arbequina,maturation,sum_et0,100,0.15168894125223972,0.13192585570091192,0.3080403014899104,0.0031403315966483753,90,0.15168894125223972,0.3080403014899104
demeaned_nodana,arbequina,maturation,ratio_p_et0,80,0.27496076190737617,0.013572021776805044,0.3056473754906235,0.010079816764615637,70,0.27496076190737617,0.3056473754906235
demeaned_nodana,arbequina,bloom_to_set,sum_precip,80,-0.364426642563419,0.0008895937465581602,-0.3044715937816614,0.010386723722867888,70,0.364426642563419,0.3044715937816614
demeaned,min500ha,winter_recharge,mean_vpd,180,-0.10367085794639717,0.16607228196154783,-0.30410822616883665,8.344398748380139e-05,162,0.10367085794639717,0.30410822616883665
demeaned_nodana,all_olive,maturation,mean_vpd,284,-0.2912625977957415,5.867629870444105e-07,-0.30325785851137016,1.134935944444387e-06,248,0.2912625977957415,0.30325785851137016
raw,arbequina,set_to_dev,sum_et0,100,-0.4373593934334538,5.365891042724287e-06,-0.3024912048172434,0.003758109111516398,90,0.4373593934334538,0.3024912048172434
demeaned_nodana,min500ha,maturation,sum_et0,144,-0.19242476322020888,0.020854428394197506,-0.3020117338059077,0.0005884012634456628,126,0.19242476322020888,0.3020117338059077
raw,min500ha,fruit_dev,days_vpd_gt2,180,-0.4095145111993558,1.1413293785644064e-08,-0.3018019660231669,9.501851203084705e-05,162,0.4095145111993558,0.3018019660231669
